time,pressure,mcp_u1,mcp_u2,pip_u1,pip_u2,dip_u1,dip_u2,tip_u1,tip_u2
0,0,0,0,0,0,0,0,0,0
0.01,0.003,-0.00496432,0.0109965,0.00123741,0.131042,0.0701956,0.0534694,0.121884,-0.3751
0.02,0.006,-0.0576053,0.0990189,0.0219225,0.561987,0.218499,0.00235787,0.30515,-1.28656
0.03,0.009,-0.0739228,0.127114,0.0370666,0.755585,0.335142,-0.144484,0.439371,-2.16019
0.04,0.012,-0.0660239,0.123193,0.0686506,0.65656,0.411984,-0.449388,0.526323,-2.91721
0.05,0.015,-0.0679638,0.134256,0.113294,0.604272,0.52403,-0.93196,0.619284,-4.10044
0.06,0.018,-0.084506,0.167272,0.169588,0.657038,0.676089,-1.58493,0.694108,-5.79465
0.07,0.021,-0.0892907,0.184965,0.238245,0.544322,0.800868,-2.38147,0.715049,-7.52088
0.08,0.024,-0.0657194,0.15983,0.308454,0.204044,0.893237,-3.25715,0.70897,-9.12494
0.09,0.027,-0.0485413,0.144773,0.380438,-0.0973505,0.984413,-4.17293,0.661979,-10.8597
0.1,0.03,-0.0538171,0.163208,0.452925,-0.222583,1.07643,-5.07668,0.541917,-12.7681
0.11,0.033,-0.0565099,0.176748,0.51654,-0.336108,1.14925,-5.87989,0.389438,-14.4915
0.12,0.036,-0.0463225,0.170121,0.566225,-0.518213,1.199,-6.51524,0.26718,-15.7811
0.13,0.039,-0.044443,0.17427,0.602962,-0.585228,1.24528,-6.94503,0.149647,-16.7958
0.14,0.042,-0.0654961,0.211791,0.627254,-0.407362,1.29671,-7.14729,-0.00207035,-17.6581
0.15,0.045,-0.0936761,0.258782,0.635416,-0.109525,1.34658,-7.10903,-0.132371,-18.1805
0.16,0.048,-0.113014,0.294562,0.626869,0.175625,1.39461,-6.84601,-0.178391,-18.2432
0.17,0.051,-0.137018,0.335589,0.606291,0.517184,1.4425,-6.42814,-0.191731,-18.0656
0.18,0.054,-0.174968,0.394558,0.579341,0.987975,1.48875,-5.95399,-0.25033,-17.9276
0.19,0.057,-0.214141,0.454946,0.552119,1.4626,1.53126,-5.52228,-0.338308,-17.8772
0.2,0.06,-0.238936,0.495094,0.535971,1.78625,1.57042,-5.23567,-0.415091,-17.9223
0.21,0.063,-0.252485,0.520739,0.539183,1.96619,1.60841,-5.19831,-0.530172,-18.2766
0.22,0.066,-0.263704,0.545453,0.567763,2.05034,1.6424,-5.4951,-0.761319,-19.1646
0.23,0.069,-0.264987,0.558516,0.627222,1.96658,1.66659,-6.16989,-1.10397,-20.5777
0.24,0.072,-0.245524,0.544707,0.718736,1.62867,1.67601,-7.22472,-1.5205,-22.4154
0.25,0.075,-0.211107,0.511923,0.834973,1.08784,1.65715,-8.63081,-2.0506,-24.6796
0.26,0.078,-0.173268,0.475785,0.964906,0.447908,1.59047,-10.3253,-2.76542,-27.3627
0.27,0.081,-0.131568,0.434956,1.09857,-0.270808,1.46754,-12.2071,-3.64264,-30.2886
0.28,0.084,-0.0823714,0.382894,1.22505,-1.07077,1.29718,-14.1522,-4.59447,-33.2186
0.29,0.087,-0.0321897,0.328472,1.33612,-1.86749,1.09045,-16.0354,-5.58947,-36.0132
0.3,0.09,0.00827165,0.28696,1.4295,-2.54583,0.859378,-17.7429,-6.62974,-38.5834
0.31,0.093,0.0373712,0.260345,1.50547,-3.06832,0.63153,-19.1776,-7.64109,-40.7942
0.32,0.096,0.0589269,0.24285,1.56392,-3.44588,0.443341,-20.2718,-8.50843,-42.5225
0.33,0.099,0.0709259,0.237403,1.60794,-3.65439,0.313067,-20.9996,-9.20092,-43.7542
0.34,0.102,0.0686492,0.251282,1.64206,-3.65867,0.238228,-21.3762,-9.76035,-44.553
0.35,0.105,0.0547551,0.281188,1.66801,-3.49206,0.213752,-21.4579,-10.1986,-44.9886
0.36,0.108,0.0363338,0.316388,1.6859,-3.23675,0.23325,-21.3336,-10.5095,-45.1468
0.37,0.111,0.0172031,0.352186,1.69889,-2.95097,0.273846,-21.1179,-10.7526,-45.173
0.38,0.114,-0.00242468,0.388766,1.71239,-2.67153,0.301939,-20.9384,-11.0372,-45.249
0.39,0.117,-0.0180814,0.420576,1.73144,-2.46365,0.293042,-20.919,-11.4316,-45.525
0.4,0.12,-0.0230307,0.437957,1.76048,-2.41262,0.232925,-21.1695,-11.9584,-46.11
0.41,0.123,-0.0138971,0.436849,1.80299,-2.56471,0.102829,-21.7715,-12.6656,-47.0963
0.42,0.126,0.00799747,0.419431,1.85948,-2.92086,-0.121934,-22.7663,-13.6251,-48.5418
0.43,0.129,0.0422101,0.386061,1.92592,-3.47825,-0.456492,-24.1487,-14.8622,-50.4295
0.44,0.132,0.0893905,0.33487,1.99395,-4.23231,-0.901235,-25.8666,-16.3431,-52.6719
0.45,0.135,0.146841,0.268766,2.05415,-5.1413,-1.45062,-27.8287,-18.0291,-55.148
0.46,0.138,0.208506,0.195916,2.09996,-6.12678,-2.09281,-29.9151,-19.8879,-57.7196
0.47,0.141,0.269233,0.123279,2.12854,-7.11225,-2.79651,-31.9922,-21.8441,-60.2316
0.48,0.144,0.326239,0.0544717,2.1404,-8.0406,-3.51071,-33.9344,-23.7744,-62.5378
0.49,0.147,0.37625,-0.00575829,2.14068,-8.85142,-4.17942,-35.6302,-25.5647,-64.5222
0.5,0.15,0.415034,-0.0505434,2.13865,-9.48365,-4.75761,-36.9977,-27.1417,-66.1113
0.51,0.153,0.4406,-0.0762957,2.14289,-9.90535,-5.21174,-37.9967,-28.4553,-67.2771
0.52,0.156,0.454138,-0.0845058,2.15713,-10.124,-5.52349,-38.6334,-29.4716,-68.0368
0.53,0.159,0.457767,-0.0782844,2.18149,-10.1702,-5.70048,-38.9568,-30.2069,-68.4519
