time,pressure,mcp_start_u1,mcp_start_u2,mcp_u1,mcp_u2,mcp_end_u1,mcp_end_u2,pip_start_u1,pip_start_u2,pip_u1,pip_u2,pip_end_u1,pip_end_u2,dip_start_u1,dip_start_u2,dip_u1,dip_u2,dip_end_u1,dip_end_u2,tip_u1,tip_u2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0.003,0,0,-0.00496432,0.0109965,-0.00650517,0.0392674,-0.0129024,0.10611,0.00123741,0.131042,0.0257243,0.138075,0.0215454,0.11257,0.0701956,0.0534694,0.125957,-0.0722778,0.121884,-0.3751
0.02,0.006,0,0,-0.0576053,0.0990189,-0.0462392,0.268546,-0.0564425,0.516398,0.0219225,0.561987,0.113659,0.502239,0.105428,0.261976,0.218499,0.00235787,0.330384,-0.409599,0.30515,-1.28656
0.03,0.009,0,0,-0.0739228,0.127114,-0.0624307,0.353369,-0.0787356,0.69673,0.0370666,0.755585,0.177519,0.654221,0.163719,0.268966,0.335142,-0.144484,0.498071,-0.79463,0.439371,-2.16019
0.04,0.012,0,0,-0.0660239,0.123193,-0.0388411,0.329015,-0.0600991,0.624039,0.0686506,0.65656,0.225647,0.517649,0.205139,0.0502048,0.411984,-0.449388,0.614161,-1.24215,0.526323,-2.91721
0.05,0.015,0,0,-0.0679638,0.134256,-0.0224567,0.343055,-0.047752,0.610193,0.113294,0.604272,0.306121,0.38489,0.275842,-0.266601,0.52403,-0.93196,0.760809,-1.9605,0.619284,-4.10044
0.06,0.018,0,0,-0.084506,0.167272,-0.0205727,0.418028,-0.049119,0.706375,0.169588,0.657038,0.424965,0.309348,0.377809,-0.649014,0.676089,-1.58493,0.936437,-2.97716,0.694108,-5.79465
0.07,0.021,0,0,-0.0892907,0.184965,0.00306533,0.437441,-0.0278513,0.665355,0.238245,0.544322,0.539704,0.0581204,0.470008,-1.19566,0.800868,-2.38147,1.07073,-4.10132,0.715049,-7.52088
0.08,0.024,0,0,-0.0657194,0.15983,0.0543464,0.341313,0.0198308,0.413565,0.308454,0.204044,0.632413,-0.400833,0.540197,-1.8805,0.893237,-3.25715,1.16994,-5.23225,0.70897,-9.12494
0.09,0.027,0,0,-0.0485413,0.144773,0.100772,0.270356,0.0622289,0.202665,0.380438,-0.0973505,0.732535,-0.835548,0.61158,-2.57518,0.984413,-4.17293,1.25693,-6.43956,0.661979,-10.8597
