time,pressure,mcp_start_u1,mcp_start_u2,mcp_u1,mcp_u2,mcp_end_u1,mcp_end_u2,pip_start_u1,pip_start_u2,pip_u1,pip_u2,pip_end_u1,pip_end_u2,dip_start_u1,dip_start_u2,dip_u1,dip_u2,dip_end_u1,dip_end_u2,tip_u1,tip_u2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0.007,0,0,-0.0189745,0.0330352,-0.0152719,0.0900725,-0.0186938,0.175434,0.00791977,0.191851,0.0392078,0.172904,0.0366236,0.0934415,0.076634,0.00671712,0.117943,-0.132605,0.11432,-0.433798
0.02,0.014,0,0,-0.027201,0.0495535,-0.0191174,0.134415,-0.0262779,0.261107,0.0233068,0.278824,0.0843503,0.229324,0.0786825,0.0537072,0.159334,-0.132237,0.240978,-0.426266,0.227527,-1.05371
0.03,0.021,0,0,-0.0267547,0.0557188,-0.00344225,0.135735,-0.0135867,0.22807,0.0584564,0.213056,0.144304,0.102645,0.133938,-0.208526,0.247127,-0.511235,0.362193,-0.969789,0.332165,-1.93134
0.04,0.028,0,0,-0.0291897,0.0670045,0.0126504,0.147499,0.000340822,0.200903,0.110159,0.134854,0.237453,-0.0801746,0.219249,-0.626475,0.373123,-1.12433,0.520038,-1.84082,0.454004,-3.29626
0.05,0.035,0,0,-0.0187827,0.0604208,0.0479398,0.101513,0.0331376,0.0435291,0.172641,-0.0986534,0.330226,-0.43073,0.300245,-1.21377,0.483986,-1.89995,0.653565,-2.85908,0.540986,-4.77347
0.06,0.042,0,0,-0.00381771,0.0469896,0.0881477,0.0359119,0.0700097,-0.152271,0.235479,-0.376047,0.41908,-0.826445,0.374067,-1.84206,0.583047,-2.71312,0.769487,-3.91004,0.599569,-6.27045
0.07,0.049,0,0,-0.00029982,0.0503105,0.113897,0.0202212,0.092757,-0.243675,0.29203,-0.533438,0.509344,-1.09979,0.445797,-2.35697,0.681369,-3.42726,0.879643,-4.883,0.634768,-7.72298
0.08,0.056,0,0,-0.000797298,0.058391,0.130138,0.0245126,0.105831,-0.277085,0.333109,-0.609166,0.578705,-1.25872,0.498408,-2.69413,0.758022,-3.91963,0.967412,-5.58587,0.650102,-8.82053
0.09,0.063,0,0,-0.00659454,0.0724706,0.132696,0.0563715,0.105292,-0.227824,0.354657,-0.569384,0.625043,-1.26,0.533103,-2.79755,0.818839,-4.12767,1.04353,-5.9521,0.663128,-9.49309
0.1,0.07,0,0,-0.02653,0.106291,0.114402,0.151336,0.0847093,-0.0360332,0.360247,-0.354223,0.660726,-1.05846,0.560433,-2.66015,0.876369,-4.07411,1.11862,-6.03864,0.676279,-9.85546
0.11,0.077,0,0,-0.0511608,0.145724,0.0859046,0.268619,0.0533454,0.216455,0.352394,-0.0570106,0.682065,-0.749326,0.577479,-2.37098,0.926048,-3.83944,1.18956,-5.91414,0.692848,-9.95639
0.12,0.084,0,0,-0.0747991,0.183106,0.0566045,0.382138,0.0201665,0.467315,0.339074,0.243779,0.695047,-0.426044,0.58817,-2.04563,0.969506,-3.55195,1.25598,-5.71853,0.709827,-9.9544
0.13,0.091,0,0,-0.0986415,0.221177,0.0292376,0.494451,-0.0114914,0.706767,0.33085,0.524311,0.7159,-0.138064,0.604029,-1.78476,1.01689,-3.35049,1.3215,-5.6327,0.713644,-10.0986
0.14,0.098,0,0,-0.116392,0.251291,0.0131154,0.578223,-0.0317648,0.874102,0.335433,0.710789,0.74944,0.0310931,0.628443,-1.68313,1.06899,-3.33542,1.38453,-5.761,0.699611,-10.4983
0.15,0.105,0,0,-0.124632,0.268828,0.0132227,0.619057,-0.0350371,0.938251,0.356668,0.766259,0.797144,0.0415805,0.662185,-1.78143,1.12469,-3.54633,1.44276,-6.14022,0.66492,-11.1844
0.16,0.112,0,0,-0.12762,0.27991,0.0242496,0.635231,-0.0265178,0.93668,0.392691,0.733231,0.860355,-0.0645071,0.705259,-2.04327,1.18429,-3.95382,1.49407,-6.75016,0.600328,-12.1512
