time,pressure,mcp_start_u1,mcp_start_u2,mcp_u1,mcp_u2,mcp_end_u1,mcp_end_u2,pip_start_u1,pip_start_u2,pip_u1,pip_u2,pip_end_u1,pip_end_u2,dip_start_u1,dip_start_u2,dip_u1,dip_u2,dip_end_u1,dip_end_u2,tip_u1,tip_u2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0.007,0,0,-0.0188647,0.032799,-0.0151363,0.0894517,-0.0185456,0.174258,0.00796976,0.190596,0.038937,0.171803,0.0363585,0.0929167,0.0761343,0.00682719,0.117091,-0.131514,0.113505,-0.430602
0.02,0.014,0,0,-0.0269166,0.0489642,-0.0188155,0.132896,-0.0259596,0.258378,0.0232732,0.276065,0.0834793,0.227272,0.0778291,0.053781,0.157884,-0.130103,0.238792,-0.421194,0.225556,-1.04273
0.03,0.021,0,0,-0.0266469,0.0552762,-0.00347669,0.134864,-0.0135998,0.227151,0.0580873,0.212706,0.142905,0.103697,0.132604,-0.204133,0.245111,-0.503844,0.359227,-0.958269,0.329659,-1.91162
0.04,0.028,0,0,-0.0291942,0.0665961,0.0122734,0.147047,-1.60E-05,0.201621,0.109185,0.137047,0.234974,-0.0751703,0.216972,-0.615304,0.369964,-1.10795,0.51578,-1.81758,0.45086,-3.25993
0.05,0.035,0,0,-0.018927,0.0600524,0.0470752,0.101637,0.0322933,0.0465786,0.170817,-0.0928376,0.32637,-0.420105,0.296851,-1.19309,0.479599,-1.87108,0.648103,-2.81984,0.537682,-4.715
0.06,0.042,0,0,-0.00441554,0.0471205,0.0864202,0.0379687,0.0683455,-0.144123,0.232755,-0.363462,0.414109,-0.807057,0.36991,-1.80921,0.578018,-2.66962,0.763573,-3.85333,0.596997,-6.18968
0.07,0.049,0,0,-0.00125164,0.0507975,0.111417,0.0238028,0.0903892,-0.231215,0.2884,-0.514889,0.503136,-1.07223,0.440894,-2.31201,0.675748,-3.36868,0.873502,-4.80774,0.633643,-7.61784
0.08,0.056,0,0,-0.0019059,0.0589413,0.127139,0.0287732,0.102971,-0.262006,0.328669,-0.586592,0.571254,-1.22499,0.492783,-2.639,0.751836,-3.84777,0.961151,-5.49367,0.650744,-8.69237
0.09,0.063,0,0,-0.00793274,0.0732196,0.129224,0.0615316,0.101973,-0.210125,0.349663,-0.543161,0.616769,-1.2212,0.527018,-2.73487,0.81233,-4.04627,1.03726,-5.84794,0.665284,-9.349
