time,pressure,mcp_start_u1,mcp_start_u2,mcp_u1,mcp_u2,mcp_end_u1,mcp_end_u2,pip_start_u1,pip_start_u2,pip_u1,pip_u2,pip_end_u1,pip_end_u2,dip_start_u1,dip_start_u2,dip_u1,dip_u2,dip_end_u1,dip_end_u2,tip_u1,tip_u2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0.003,0,0,-0.0112401,0.0213404,-0.0102956,0.0647069,-0.0144431,0.127841,0.00812757,0.146375,0.0405105,0.133693,0.0368917,0.075194,0.0780603,0.00862405,0.123653,-0.0961778,0.11982,-0.371305
0.02,0.006,0,0,-0.0538068,0.0950807,-0.0357664,0.249371,-0.0421584,0.417007,0.0396687,0.437019,0.138398,0.340698,0.130111,0.0843955,0.226512,-0.147786,0.320788,-0.471704,0.298688,-1.24647
0.03,0.009,0,0,-0.050657,0.0968116,-0.0209733,0.24764,-0.0307185,0.395837,0.0790427,0.384848,0.212996,0.218551,0.198083,-0.175463,0.331899,-0.523624,0.463873,-1.00314,0.417901,-2.14038
0.04,0.012,0,0,-0.0335721,0.0820939,0.0241208,0.177319,0.0115715,0.209666,0.143212,0.12099,0.302464,-0.150465,0.277913,-0.715934,0.442788,-1.1974,0.606409,-1.84749,0.525792,-3.3692
0.05,0.015,0,0,-0.0286427,0.0873773,0.0653303,0.152983,0.0512072,0.0756899,0.237425,-0.123681,0.451941,-0.58757,0.407263,-1.48164,0.60748,-2.20829,0.793434,-3.15465,0.637025,-5.29868
0.06,0.018,0,0,-0.0137018,0.0800349,0.126558,0.0799676,0.109899,-0.173114,0.350796,-0.52324,0.615122,-1.22336,0.537379,-2.49996,0.760924,-3.5067,0.952639,-4.78351,0.684648,-7.60353
0.07,0.021,0,0,0.0307644,0.0284842,0.220319,-0.120935,0.195861,-0.655352,0.464649,-1.18967,0.749574,-2.12216,0.631826,-3.74234,0.862736,-4.99555,1.04928,-6.55949,0.660094,-9.96101
0.08,0.024,0,0,0.0763509,-0.0251886,0.31496,-0.329169,0.278546,-1.15389,0.576421,-1.88398,0.880336,-3.06951,0.709446,-5.06359,0.938865,-6.58648,1.10567,-8.4626,0.561205,-12.4844
0.09,0.027,0,0,0.102049,-0.0476426,0.392928,-0.457172,0.344179,-1.52252,0.68676,-2.44493,1.01837,-3.91058,0.77509,-6.33015,0.99316,-8.16586,1.1192,-10.4033,0.365379,-15.1279
0.1,0.03,0,0,0.128612,-0.0734235,0.464418,-0.585514,0.401128,-1.87118,0.778256,-2.96615,1.1274,-4.679,0.80934,-7.46815,1.00969,-9.58004,1.08926,-12.1382,0.120538,-17.4806
0.11,0.033,0,0,0.15892,-0.107902,0.528632,-0.724082,0.449008,-2.2055,0.843402,-3.43862,1.19828,-5.33493,0.818298,-8.39097,1.00425,-10.7083,1.0472,-13.511,-0.105811,-19.3243
0.12,0.036,0,0,0.169061,-0.113023,0.565746,-0.769367,0.475908,-2.35087,0.896064,-3.67524,1.26627,-5.71661,0.830064,-8.99494,1.00639,-11.4941,1.01456,-14.5198,-0.321283,-20.76
0.13,0.039,0,0,0.155679,-0.0839266,0.57204,-0.705598,0.480858,-2.27694,0.939381,-3.63991,1.33905,-5.78682,0.854228,-9.245,1.02784,-11.9055,1.00408,-15.137,-0.513044,-21.7684
0.14,0.042,0,0,0.136458,-0.0491039,0.561826,-0.609395,0.473034,-2.11106,0.962777,-3.46359,1.39304,-5.64663,0.883828,-9.18525,1.06928,-11.9394,1.03527,-15.3063,-0.611623,-22.2005
0.15,0.045,0,0,0.113848,-0.0108731,0.538292,-0.489486,0.454207,-1.8742,0.968555,-3.17559,1.43053,-5.33606,0.918823,-8.87191,1.13012,-11.6623,1.10682,-15.1053,-0.620918,-22.1561
0.16,0.048,0,0,0.0783466,0.0474262,0.496754,-0.30658,0.420606,-1.5144,0.968029,-2.73758,1.47156,-4.85939,0.960976,-8.37998,1.20249,-11.2023,1.19145,-14.72,-0.617328,-21.9234
0.17,0.051,0,0,0.0375844,0.116553,0.44976,-0.099097,0.380733,-1.11548,0.96447,-2.25544,1.51249,-4.33955,1.00175,-7.85015,1.27302,-10.7094,1.27147,-14.3079,-0.625246,-21.6727
0.18,0.054,0,0,0.00786398,0.167629,0.417341,0.0531219,0.350927,-0.822237,0.961895,-1.89862,1.54523,-3.95251,1.03364,-7.45464,1.33205,-10.3473,1.33977,-14.0204,-0.640049,-21.5334
0.19,0.057,0,0,-0.00799483,0.198143,0.406172,0.139593,0.338657,-0.665532,0.975071,-1.72064,1.58506,-3.78762,1.05851,-7.33368,1.37197,-10.2923,1.37333,-14.0717,-0.721035,-21.7837
0.2,0.06,0,0,-0.0136328,0.216922,0.418668,0.17429,0.347544,-0.640501,1.0166,-1.73418,1.64828,-3.89483,1.07681,-7.59284,1.38175,-10.6916,1.34122,-14.6518,-0.944924,-22.6838
0.21,0.063,0,0,-0.000410855,0.211115,0.465089,0.119399,0.385953,-0.816635,1.08637,-2.01996,1.72802,-4.3571,1.07885,-8.31014,1.34773,-11.6173,1.2269,-15.8242,-1.32875,-24.2791
0.22,0.066,0,0,0.0375768,0.171264,0.550093,-0.0513712,0.45511,-1.23668,1.17687,-2.62336,1.80801,-5.20961,1.04853,-9.49941,1.25261,-13.0663,1.01544,-17.5664,-1.87774,-26.5117
0.23,0.069,0,0,0.0920114,0.109136,0.662308,-0.303731,0.541382,-1.83671,1.27756,-3.47074,1.87796,-6.37721,0.967962,-11.0869,1.07346,-14.9688,0.675683,-19.8131,-2.64065,-29.3213
0.24,0.072,0,0,0.154163,0.0364641,0.788058,-0.600209,0.629798,-2.53983,1.37447,-4.46593,1.92476,-7.74796,0.822238,-12.9415,0.794816,-17.1839,0.190175,-22.4132,-3.63759,-32.5369
0.25,0.075,0,0,0.221922,-0.0457372,0.918349,-0.929189,0.710481,-3.30613,1.45196,-5.54345,1.9326,-9.21743,0.610704,-14.9053,0.427504,-19.5146,-0.411723,-25.1303,-4.79688,-35.8572
0.26,0.078,0,0,0.289166,-0.129601,1.04124,-1.25927,0.775115,-4.06189,1.50302,-6.60002,1.90246,-10.6471,0.353577,-16.7964,0.00715802,-21.7499,-1.07384,-27.7253,-6.02131,-39.0002
0.27,0.081,0,0,0.344636,-0.197578,1.14363,-1.53425,0.82031,-4.69682,1.53493,-7.4976,1.85564,-11.8777,0.0868119,-18.4358,-0.418181,-23.7007,-1.7363,-30.002,-7.23161,-41.7606
0.28,0.084,0,0,0.38268,-0.240774,1.2194,-1.72305,0.849438,-5.14648,1.55843,-8.15037,1.81544,-12.8022,-0.146798,-19.6933,-0.790615,-25.2215,-2.32266,-31.8018,-8.31684,-43.9625
0.29,0.087,0,0,0.404098,-0.260377,1.26833,-1.82395,0.867682,-5.4002,1.58052,-8.53508,1.79802,-13.3775,-0.309365,-20.5034,-1.0549,-26.23,-2.75506,-33.0279,-9.15668,-45.4923
0.3,0.09,0,0,0.408062,-0.255012,1.29106,-1.83279,0.878745,-5.45174,1.60835,-8.64445,1.8153,-13.597,-0.383456,-20.8633,-1.18879,-26.726,-3.0059,-33.6846,-9.71626,-46.3653
0.31,0.093,0,0,0.394986,-0.22426,1.29016,-1.75194,0.884415,-5.31347,1.64563,-8.50168,1.86925,-13.5015,-0.377294,-20.8371,-1.20807,-26.7912,-3.1023,-33.8708,-10.0468,-46.708
0.32,0.096,0,0,0.371126,-0.177621,1.27355,-1.61447,0.885451,-5.05427,1.6876,-8.19684,1.94597,-13.2015,-0.318255,-20.5594,-1.15054,-26.5745,-3.09395,-33.7486,-10.2202,-46.7026
0.33,0.099,0,0,0.345373,-0.128973,1.25254,-1.4671,0.883695,-4.76965,1.72745,-7.85357,2.02581,-12.847,-0.243762,-20.2078,-1.06771,-26.2703,-3.04805,-33.5266,-10.3316,-46.5787
