time,pressure,mcp_start_u1,mcp_start_u2,mcp_u1,mcp_u2,mcp_end_u1,mcp_end_u2,pip_start_u1,pip_start_u2,pip_u1,pip_u2,pip_end_u1,pip_end_u2,dip_start_u1,dip_start_u2,dip_u1,dip_u2,dip_end_u1,dip_end_u2,tip_u1,tip_u2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0.007,0,0,-0.0193694,0.0344536,-0.0127998,0.0901338,-0.0149162,0.151057,0.0140333,0.159033,0.0486659,0.126431,0.0462551,0.0381088,0.0808169,-0.0417347,0.11562,-0.153215,0.11231,-0.423351
0.02,0.014,0,0,-0.0147475,0.0331728,0.00325074,0.076694,-0.00128129,0.105999,0.0465879,0.0836052,0.105834,-0.00531321,0.0999115,-0.199928,0.163379,-0.366461,0.22896,-0.592646,0.217545,-1.13387
0.03,0.021,0,0,-0.00591283,0.029831,0.0401273,0.035461,0.0341897,-0.0369845,0.116141,-0.143988,0.211443,-0.365357,0.19847,-0.78292,0.292465,-1.11115,0.386013,-1.53171,0.352968,-2.49614
0.04,0.028,0,0,0.0142001,0.0114734,0.0973941,-0.0589024,0.089308,-0.301274,0.210752,-0.537106,0.345159,-0.946113,0.317707,-1.66606,0.438677,-2.20762,0.552703,-2.87677,0.476979,-4.36449
0.05,0.035,0,0,0.050323,-0.030519,0.173857,-0.224406,0.160227,-0.700871,0.307594,-1.08895,0.465008,-1.69122,0.416759,-2.70258,0.553908,-3.44627,0.679468,-4.3477,0.548107,-6.31951
0.06,0.042,0,0,0.0741316,-0.054424,0.234804,-0.336599,0.214909,-0.998399,0.395079,-1.52222,0.581225,-2.31494,0.505651,-3.62316,0.65757,-4.57822,0.788666,-5.725,0.582513,-8.20305
0.07,0.049,0,0,0.0852146,-0.0611561,0.273392,-0.38874,0.248227,-1.16067,0.458402,-1.77634,0.671533,-2.71116,0.569947,-4.24791,0.736085,-5.37356,0.871962,-6.72435,0.589762,-9.6261
0.08,0.056,0,0,0.0860684,-0.0554346,0.288652,-0.388476,0.260242,-1.18986,0.492107,-1.8417,0.727615,-2.84723,0.609207,-4.50716,0.792441,-5.73625,0.939148,-7.22109,0.597856,-10.4111
0.09,0.063,0,0,0.069276,-0.0248905,0.277354,-0.306611,0.249192,-1.04713,0.507104,-1.68787,0.771679,-2.72065,0.642359,-4.45054,0.848141,-5.75316,1.0101,-7.34403,0.616262,-10.7689
0.1,0.07,0,0,0.0475364,0.0121289,0.25712,-0.201536,0.229861,-0.851804,0.512904,-1.46317,0.806874,-2.50241,0.670083,-4.27326,0.900123,-5.63129,1.07948,-7.30983,0.638017,-10.9334
0.11,0.077,0,0,0.0330961,0.0385644,0.246687,-0.129557,0.218893,-0.723092,0.524213,-1.32105,0.844099,-2.37968,0.6978,-4.20517,0.949386,-5.62603,1.14326,-7.39896,0.648839,-11.2311
0.12,0.084,0,0,0.0277705,0.0535884,0.255211,-0.102694,0.225394,-0.703653,0.557141,-1.3305,0.902986,-2.46039,0.736862,-4.41249,1.00315,-5.94298,1.20047,-7.85856,0.626314,-11.9854
0.13,0.091,0,0,0.0372182,0.0489406,0.289419,-0.14546,0.255126,-0.83956,0.613611,-1.54644,0.980919,-2.80361,0.782343,-4.95507,1.05336,-6.64138,1.24031,-8.74587,0.555777,-13.2478
0.14,0.098,0,0,0.0586581,0.0280517,0.343229,-0.244453,0.301475,-1.09782,0.684752,-1.92314,1.06736,-3.34776,0.824474,-5.74824,1.09027,-7.62187,1.25379,-9.94617,0.431273,-14.8743
0.15,0.105,0,0,0.0810527,0.00618428,0.399722,-0.349446,0.348824,-1.37268,0.75719,-2.32561,1.15278,-3.93058,0.857579,-6.59652,1.11192,-8.66969,1.24272,-11.2263,0.261836,-16.5981
0.16,0.112,0,0,0.0969813,-0.00718417,0.444262,-0.423641,0.384915,-1.57684,0.81685,-2.63312,1.22515,-4.39105,0.880508,-7.28405,1.12453,-9.53317,1.22391,-12.298,0.0884592,-18.0658
0.17,0.119,0,0,0.100059,-0.00357398,0.465809,-0.435776,0.401746,-1.63983,0.856678,-2.75055,1.28165,-4.60641,0.900654,-7.65253,1.14309,-10.031,1.22222,-12.9572,-0.0429011,-19.034
0.18,0.126,0,0,0.0872239,0.021169,0.460807,-0.372716,0.397168,-1.53616,0.877028,-2.64653,1.32614,-4.54154,0.925097,-7.66468,1.17788,-10.1248,1.25126,-13.1654,-0.112993,-19.4659
