time,pressure,joint,u1_start,u1_mid,u1_end,u2_start,u2_mid,u2_end,u1_init_offset_start,u1_init_offset_mid,u1_init_offset_end,L_init,L_arc,R_arc,u1_center_arc,u2_center_arc,theta_arc,theta_arc_start,theta_arc_end,delta_L,theta_joint
0.01,0.003,MCP,0,15.395035680000001,29.99349483,0,0.0109965,0.0392674,0,15.4,30,30,29.993528003048826,12269.535797014783,-1.0664689558196618,12269.535750666004,0.002444552793133897,3.1415057335159773,3.139061180722883,-0.006471996951173509,-0.1646469942197379
0.01,0.003,PIP,53.2540976,63.46823741,73.6927243,0.10611,0.131042,0.138075,53.267,63.467,73.667,20.4,20.438662164735142,5829.402138038074,72.59028205218439,-5829.263958792485,0.0035061335074773065,-0.0033170159567635494,1.8911755069932337e-4,0.03866216473514328,0.25270095052568287
0.01,0.003,DIP,90.28854539999999,100.5371956,110.792957,0.11257,0.0534694,-0.0722778,90.267,100.467,110.667,20.400000000000006,20.505388908068127,1578.817899094547,86.30854550255744,-1578.700312548827,0.012987811273122745,0.00252087597631695,0.015508687249454164,0.10538890806812162,0.9297029010724497
0.02,0.006,MCP,0,15.3423947,29.9537608,0,0.099018900000000007,0.268546,0,15.4,30,30,29.955096893519475,2909.3682883741217,-11.105235676903625,2909.347093616973,0.010296082834621,3.1377755835101526,3.1274795006754985,-0.04490310648052542,-0.6105886438022495
0.02,0.006,PIP,53.2105575,63.4889225,73.780659,0.516398,0.561987,0.502239,53.267,63.467,73.667,20.4,20.57046592036569,1004.3414599171771,62.80432718393118,-1003.7792395947365,0.02048154610889212,-0.009552444036536184,0.010929102072359418,0.17046592036569308,1.440222528477433
0.02,0.006,DIP,90.372428,100.685499,110.997384,0.261976,0.00235787,-0.409599,90.267,100.467,110.667,20.400000000000006,20.636636084869153,699.0682663914162,77.93688277165147,-698.6956752853791,0.029520201498195984,0.01778968059194758,0.047309882090149545,0.2366360848691471,2.1191170182236276
0.03,0.009,MCP,0,15.3260772,29.9375693,0,0.127114,0.353369,0,15.4,30,30,29.939912669682588,2082.135269265466,-9.60541462608482,2082.113113048625,0.014379427269509136,3.1369793852595587,3.1225999579900177,-0.06008733031741187,-0.8460695948769648
0.03,0.009,PIP,53.1882644,63.5040666,73.844519,0.69673,0.755585,0.654221,53.267,63.467,73.667,20.4,20.657126288798363,666.0317143747385,62.14591682662438,-665.2747446263214,0.031015229219513957,-0.013449693616140087,0.017565535603379583,0.2571262887983643,2.17666473836067
0.03,0.009,DIP,90.430719,100.802142,111.165071,0.268966,-0.144484,-0.79463,90.267,100.467,110.667,20.400000000000006,20.763414196894498,455.0925157442883,77.49004168453995,-454.63952672912285,0.045624600446211784,0.028439100617463464,0.07406370106367431,0.3634141968944924,3.264286991338693
0.04,0.012,MCP,0,15.333976100000001,29.9611589,0,0.123193,0.329015,0,15.4,30,30,29.963147335305052,2481.8500685486415,-12.271430257775558,2481.8197305111275,0.012072907914549073,3.1366481646315933,3.124575256717023,-0.036852664694947634,-0.727131986549214
0.04,0.012,PIP,53.2069009,63.5356506,73.892647,0.624039,0.65656,0.517649,53.267,63.467,73.667,20.4,20.686965192582118,624.6041044393261,60.33782113463932,-623.9393583097204,0.033120123684028155,-0.011416952116941525,0.021703171567080733,0.2869651925821195,2.342108285841886
0.04,0.012,DIP,90.472139,100.878984,111.281161,0.0502048,-0.449388,-1.24215,90.267,100.467,110.667,20.400000000000006,20.851857561761395,371.0984250890196,77.88279250504306,-370.8346148655946,0.05618956091435695,0.033931058956653756,0.09012061987100953,0.4518575617613898,4.024853040905074
0.05,0.015,MCP,0,15.332036200000001,29.9775433,0,0.134256,0.343055,0,15.4,30,30,29.97965727339236,2725.6439566621225,-16.200256034821578,2725.595811963534,0.010999109843424318,3.135648975076364,3.12464986523294,-0.020342726607641026,-0.6585233819589562
0.05,0.015,PIP,53.219248,63.580294,73.973121,0.610193,0.604272,0.38489,53.267,63.467,73.667,20.4,20.75655457638209,505.4098101769018,58.11096099110291,-504.77594389639785,0.04106876075301537,-0.009678857176112514,0.03138990357690666,0.3565545763820914,2.9101284230457263
0.05,0.015,DIP,90.542842,100.99103,111.427809,-0.266601,-0.93196,-1.9605,90.267,100.467,110.667,20.400000000000006,20.957737403396766,302.5384512733514,76.54258057936093,-302.48094079715753,0.06927297113866991,0.04629250605932778,0.11556547719799713,0.5577374033967608,4.961412014900544
0.06,0.018,MCP,0,15.315494000000001,29.9794273,0,0.167272,0.418028,0,15.4,30,30,29.982532291584864,2426.869043564592,-18.84619783805791,2426.795866042129,0.012354408809610277,3.1338269328502193,3.121472524040607,-0.01746770841513623,-0.710900068872874
0.06,0.018,PIP,53.217881000000006,63.636587999999996,74.091965,0.706375,0.657038,0.309348,53.267,63.467,73.667,20.4,20.88068740446274,366.23764048029324,56.69313871562663,-365.5147766124956,0.057014039783238234,-0.009489220896925069,0.04752481888630634,0.48068740446274205,4.0244615732310205
0.06,0.018,DIP,90.644809,101.143089,111.603437,-0.649014,-1.58493,-2.97716,90.267,100.467,110.667,20.400000000000006,21.094162776856315,242.99854261843058,74.32141063659718,-243.09867553936135,0.08680777485147105,0.06722550531846916,0.15403328016994142,0.6941627768563094,6.202522159548188
0.07,0.021,MCP,0,15.310709300000001,30.00306533,0,0.184965,0.437441,0,15.4,30,30,30.006384274017368,2940.4701693730917,-27.865046574443973,2940.338136363303,0.010204621215529872,3.132116120232077,3.1219114990165804,0.0063842740173676304,-0.5619747237809776
0.07,0.021,PIP,53.2391487,63.705245,74.206704,0.665355,0.544322,0.0581204,53.267,63.467,73.667,20.4,20.980556983428396,302.2989932597752,54.97708044209989,-301.62864249107395,0.0694033306468842,-0.005749080726542434,0.06365424992034009,0.5805569834283979,4.899405234756862
0.07,0.021,DIP,90.737008,101.26786799999999,111.73773,-1.19566,-2.38147,-4.10132,90.267,100.467,110.667,20.400000000000006,21.209861535212475,209.24579702018812,72.59614103173351,-209.65359944163754,0.1013633814263239,0.08680542082062717,0.18816880224695254,0.8098615352124696,7.238554270192712
