time,pressure,joint,u1_start,u1_mid,u1_end,u2_start,u2_mid,u2_end,u1_init_offset_start,u1_init_offset_mid,u1_init_offset_end,L_init,L_arc,R_arc,u1_center_arc,u2_center_arc,theta_arc,theta_arc_start,theta_arc_end,delta_L,theta_joint
0.01,0.007,MCP,0,15.3810255,29.9847281,0,0.0330352,0.0900725,0,15.4,30,30,29.984878828816196,8528.76210947669,-10.627420449089442,8528.755488228036,0.003515736333588043,3.1403465849267387,3.136830848593145,-0.015121171183803739,-0.20999534278289914
0.01,0.007,PIP,53.274919770000004,63.47491977,73.7062078,0.175434,0.191851,0.172904,53.267,63.467,73.667,20.4,20.4313289849819,2951.3315073016765,63.1251035205958,-2951.1396355701168,0.006922749590967406,-0.0033375451092011984,0.003585204481762884,0.03132898498190073,0.48430497921603843
0.01,0.007,DIP,90.3036236,100.543634,110.784943,0.0934415,0.00671712,-0.132605,90.267,100.467,110.667,20.400000000000006,20.482656752137146,1994.7540095307766,78.53038120716475,-1994.6258242872107,0.010268261978305413,0.005902136649817515,0.016170398628119864,0.08265675213714019,0.7379460585988457
0.02,0.014,MCP,0,15.372799,29.9808826,0,0.0495535,0.134415,0,15.4,30,30,29.981217322474862,5797.487935317906,-11.001418728547112,5797.477497062204,0.005171415215861219,3.139695034232254,3.1345236190164436,-0.01878267752513807,-0.3114124723476123
0.02,0.014,PIP,53.2903068,63.4903068,73.7513503,0.261107,0.278824,0.229324,53.267,63.467,73.667,20.4,20.461214982311905,1559.3079355988873,61.098744962334635,-1559.0272775893063,0.013121984769771158,-0.005007651547828507,0.008114333221934757,0.06121498231190614,0.9177475576349037
0.02,0.014,DIP,90.3456825,100.626334,110.907978,0.0537072,-0.132237,-0.426266,90.267,100.467,110.667,20.400000000000006,20.568274887231198,978.9905445989012,77.78233101208467,-978.8562215541446,0.02100967675398556,0.01283331735465925,0.03384299410864298,0.16827488723119188,1.5028744848041649
0.03,0.021,MCP,0,15.3732453,29.99655775,0,0.0557188,0.135735,0,15.4,30,30,29.99688191220146,8118.740571628598,-21.73873936104412,8118.711467752703,0.003694770346157786,3.1389150504387295,3.1352202800925286,-0.003118087798540614,-0.2267735933596869
0.03,0.021,PIP,53.3254564,63.525456399999996,73.811304,0.22807,0.213056,0.102645,53.267,63.467,73.667,20.4,20.486524451679415,1105.957895686935,56.797548820984915,-1105.7243754543665,0.018523783347968035,-0.0031394487422194786,0.015384334605732646,0.08652445167941636,1.3013418802398846
0.03,0.021,DIP,90.400938,100.714127,111.029193,-0.208526,-0.511235,-0.969789,90.267,100.467,110.667,20.400000000000006,20.64307963268421,684.3470897457598,75.4800412390957,-684.3929354126535,0.03016463420682226,0.021804840569176483,0.051969474775999745,0.24307963268420352,2.1589453859359784
0.04,0.028,MCP,0,15.3708103,30.0126504,0,0.0670045,0.147499,0,15.4,30,30,30.01301932730561,13182.85552911633,-49.78079757104933,13182.761538226585,0.0022766705787693204,3.1378164674842726,3.1355397969055967,0.013019327305610062,-0.1309601041889043
0.04,0.028,PIP,53.377159000000006,63.577159,73.904453,0.200903,0.134854,-0.0801746,53.267,63.467,73.667,20.4,20.52992219826574,715.6734847347233,53.843107358855285,-715.4724300538934,0.028686157355509,-6.510628124582637e-4,0.02803509454304992,0.12992219826574214,2.01793240665398
0.04,0.028,DIP,90.486249,100.840123,111.187038,-0.626475,-1.12433,-1.84082,90.267,100.467,110.667,20.400000000000006,20.737913439257223,491.6659445847235,72.05054769560556,-491.94666182505154,0.04217886894072584,0.037505188797801445,0.07968405773852824,0.3379134392572176,3.01101998226976
0.05,0.035,MCP,0,15.381217300000001,30.0479398,0,0.0604208,0.101513,0,15.4,30,30,30.048117628903913,13337.214240119865,60.08170274089965,-13337.078910910435,0.002252953059606386,-0.004504831734057047,6.280933428505111,0.048117628903913356,0.1420258371449263
0.05,0.035,PIP,53.439641,63.639641,73.997226,0.0435291,-0.0986534,-0.43073,53.267,63.467,73.667,20.4,20.564179067945236,567.7054396637238,50.627221368640726,-567.6549441405039,0.036223325744643695,0.004954032388692099,0.0411773581333305,0.16417906794523773,2.5635555436900974
0.05,0.035,DIP,90.567245,100.950986,111.320565,-1.21377,-1.89995,-2.85908,90.267,100.467,110.667,20.400000000000006,20.820827727735836,396.6483812663288,69.60702926107179,-397.30796046153216,0.052491901419750735,0.052867940342460555,0.1053598417622098,0.4208277277358299,3.743034849253182
