time,pressure,joint,resample_u1_start,resample_u1_mid,resample_u1_end,resample_u2_start,resample_u2_mid,resample_u2_end,u1_init_offset_start,u1_init_offset_mid,u1_init_offset_end,L_init,L_arc,R_arc,u1_center_arc,u2_center_arc,theta_arc,theta_arc_start,theta_arc_end,delta_L,theta_joint
0.01,0.007,MCP,0,15.409580060785824,30.035182110162147,0,-0.002887642945104926,-0.0374017741835867,0,15.4,30,30,30.035229022970693,6912.766523304423,6.409388815431606,-6912.76355197061,0.004344892731689328,-9.271815722614363e-4,0.0034177111594383006,0.03522902297069308,0.24834062806880342
0.02,0.014,MCP,0,15.401408967593715,30.036121566041423,0,0.013846818059111263,0.0015516272651270539,0,15.4,30,30,30.036136748349364,8635.042940871592,15.464135278739459,-8635.029093825706,0.003478400391755043,-0.0017908589048909337,0.0016875414868724186,0.036136748349363756,0.20186853950706357
0.03,0.021,MCP,0,15.393231722415473,30.037051383220724,0,0.03071534787922416,0.04076173022079217,0,15.4,30,30,30.037087623534347,11470.419332930769,30.584411341018733,-11470.378558140741,0.002618656454633701,-0.0026663757177145964,6.283137587916487,0.03708762353434736,0.1549029079017533
0.04,0.028,MCP,0,15.384954167299503,30.037789244435647,0,0.04783427589193009,0.08066028974624431,0,15.4,30,30,30.03790132122797,17284.952824265278,61.43388670921343,-17284.84365028044,0.001737806381459116,-0.003554190553805833,6.2813689230072995,0.037901321227970186,0.10584306579873365
0.05,0.035,MCP,0,15.376482144294203,30.038152832421815,0,0.06531993147392538,0.12167906090431915,0,15.4,30,30,30.03840009847039,37170.95749755596,165.59057623755143,-37170.58865616972,8.081147788685685e-4,-0.00445485225824747,6.27953856970021,0.038400098470390276,0.05309427543536505
0.06,0.042,MCP,0,15.36782199358995,30.038153108674887,0,0.08316501937379624,0.1637909852598584,0,15.4,30,30,30.03859972451622,178342.864782308,-957.4281667142498,178340.29480200534,1.6843174388379633e-4,3.136224158658063,3.1360557269143294,0.038599724516220846,-0.003226821479309821
0.07,0.049,MCP,0,15.35909243315309,30.038019185752955,0,0.1012232678885764,0.20645286994312984,0,15.4,30,30,30.038730335066052,25972.486540900714,-163.4869967833682,25971.97199134389,0.001156559665081044,3.135297989574232,3.1341414299092603,0.03873033506605239,-0.06109547026402414
0.08,0.056,MCP,0,15.350367871696006,30.03789597298529,0,0.11940254171763352,0.24932226836510815,0,15.4,30,30,30.038936376298054,14075.998133182185,-101.81136878595807,14075.629928729097,0.0021340537340286715,3.1343596136611125,3.1322255599271913,0.03893637629805369,-0.11924333424194421
0.09,0.063,MCP,0,15.34172271793107,30.03792837970115,0,0.13761070556033522,0.29205673393676795,0,15.4,30,30,30.03936003415073,9756.870512504016,-79.84182782345863,9756.543828646505,0.003078790478530332,3.133409423236077,3.130330632757536,0.03936003415072875,-0.17640667080259523
0.1,0.07,MCP,0,15.333231380570659,30.03826131522982,0,0.15575562411604923,0.33431382006908394,0,15.4,30,30,30.040141361937508,7569.185607051118,-69.21749137266515,7568.869115850654,0.003968741542545006,3.132447884295563,3.128479142753,0.040141361937507725,-0.2313263181735407
0.11,0.077,MCP,0,15.324661657731346,30.0384470318539,0,0.17412837722598992,0.37716151599446823,0,15.4,30,30,30.040844457125388,6166.458040795214,-62.40024005868569,6166.142309331547,0.004871653104324274,3.1314731806830625,3.1266015275786803,0.04084445712538809,-0.2879070008307938
0.12,0.084,MCP,0,15.315848462776545,30.038166365998386,0,0.1929350913007041,0.4213591745731799,0,15.4,30,30,30.041164147235726,5147.8594061567255,-57.18489745698667,5147.541777689532,0.005835661345239375,3.1304839442997014,3.1246482829544746,0.041164147235726034,-0.3489226777540125
0.13,0.091,MCP,0,15.306966877288875,30.037757103206072,0,0.21195620089355757,0.4661013946579633,0,15.4,30,30,30.04143121865615,4411.650081332579,-53.42886932157332,4411.326534733603,0.0068095679994597084,3.1294814991425444,3.1226719311430493,0.04143121865615029,-0.41142949546757274
0.14,0.098,MCP,0,15.298191982850962,30.03755702901979,0,0.2309721405579162,0.510582775101563,0,15.4,30,30,30.04197123153059,3880.188005710106,-50.927202457292736,3879.853783289577,0.0077424009319447045,3.1284673450613907,3.120724944129432,0.04197123153058868,-0.47249413579697636
0.15,0.105,MCP,0,15.289698861045439,30.03790392898236,0,0.24976334484714588,0.5539979147567236,0,15.4,30,30,30.0431044940153,3500.131847767737,-49.523440461237506,3499.781476121456,0.008583420796898195,3.1274431600411523,3.1188597392442166,0.043104494015299366,-0.5291937726170112
0.16,0.112,MCP,0,15.281662593454927,30.039135588636604,0,0.2681102483146126,0.5955414124761897,0,15.4,30,30,30.045146326532983,3236.878026026902,-49.13991574152906,3236.5050013952905,0.009282137320265919,3.1264108014792638,3.117128664158978,0.04514632653298278,-0.5786161805559858
0.17,0.119,MCP,0,15.272812098067128,30.038819989067058,0,0.28759908294027586,0.6410402715238331,0,15.4,30,30,30.045789638469465,2943.931110928417,-47.790123063192695,2943.5431863707777,0.01020600975577653,3.1253585025551986,3.115152492799407,0.04578963846946493,-0.6420946329503351
0.18,0.126,MCP,0,15.262502373857089,30.03571926645255,0,0.309035840812057,0.6934552841064817,0,15.4,30,30,30.04389006012789,2603.354210286744,-45.07055413825763,2602.9640391998096,0.011540454211499223,3.124279294652049,3.112738840440555,0.04389006012788954,-0.7303878938305665
0.19,0.133,MCP,0,15.251847623888468,30.031962438977356,0,0.33103059664526446,0.7476817324913146,0,15.4,30,30,30.04147856159087,2317.4329912169997,-42.660209574799225,2317.040305065927,0.012963256618615148,3.1231832240731463,3.1102199674545368,0.041478561590871266,-0.8247806017443309
0.2,0.14,MCP,0,15.241962051224908,30.02967852482572,0,0.35219342515520663,0.7986148989455104,0,15.4,30,30,30.040546647183945,2122.471624590706,-41.409206061443804,2122.0676414398463,0.014153568085027716,3.1220815171368397,3.1079279490518092,0.04054664718394463,-0.9066220592526972
0.21,0.147,MCP,0,15.233959858930062,30.0309965421819,0,0.3711344010571916,0.8411500657362475,0,15.4,30,30,30.04304818170029,2031.0307530036894,-41.84858857348233,2030.5995703932228,0.0147920203262652,3.1209865892983633,3.106194568972091,0.043048181700289234,-0.9573271945986156
0.22,0.154,MCP,0,15.227522910836809,30.035324904045552,0,0.3883304193743623,0.8768463859041973,0,15.4,30,30,30.048401795727735,2008.010542944536,-43.57726525677703,2007.5376366407556,0.014964264954338795,3.11988923839065,3.1049249734363,0.04840179572773451,-0.9814138626697069
0.23,0.161,MCP,0,15.221632749617372,30.040722969887668,0,0.40508492790279427,0.9104126666233993,0,15.4,30,30,30.054795556855844,2008.9017953926011,-45.83167537120202,2008.378918696441,0.014960808749231176,3.1187763804177986,3.103815571668558,0.054795556855843586,-0.9955780131266381
0.24,0.168,MCP,0,15.216353096594423,30.04729617759951,0,0.4212478305171955,0.9414686713610846,0,15.4,30,30,30.062315322841524,2035.218581435791,-48.71261688857965,2034.6355337448965,0.014771049948666144,3.1176555347061314,3.1028844847574697,0.06231532284152408,-0.99955476714311
0.25,0.175,MCP,0,15.211747673090628,30.055149965072367,0,0.43666903109227395,0.9696341635844855,0,15.4,30,30,30.071046240551976,2090.5075468014893,-52.3792112090436,2089.8512438609355,0.014384567176789756,3.116534292349883,3.102149725173108,0.07104624055197561,-0.9930806169742418
0.26,0.182,MCP,0,15.207880200428658,30.0643897701975,0,0.4511984335027377,0.9945289067608338,0,15.4,30,30,30.081073148142337,2181.1909423373845,-57.08036076365072,2180.4439363005276,0.013791123264021618,3.1154203104122633,3.1016291871482435,0.08107314814233746,-0.9758933621485905
0.27,0.189,MCP,0,15.204814399931182,30.075121030866196,0,0.4646859416232947,1.015772664357361,0,15.4,30,30,30.092481027988185,2318.2535684931086,-63.21406441712128,2317.3915486794417,0.012980668481208742,3.114321305184173,3.101340636702953,0.09248102798818536,-0.947732053125886
0.28,0.196,MCP,0,15.202983522832751,30.088297175595404,0,0.476734419371119,1.031489282892009,0,15.4,30,30,30.106147664352754,2549.7760597828683,-72.31462454447531,2548.750389920292,0.01180736933694346,3.1132276831738577,3.1014203138369014,0.10614766435275413,-0.8999597290756698
0.29,0.203,MCP,0,15.202460620691882,30.104118572989776,0,0.48737318030180266,1.041469193774977,0,15.4,30,30,30.122259827524204,2942.47011878896,-86.68218101375196,2941.1930571556527,0.010237065666421007,3.1121294067243492,3.101892341057926,0.1222598275242035,-0.8301657685952925
