time,pressure,joint,u1_start,u1_mid,u1_end,u2_start,u2_mid,u2_end,u1_init_offset_start,u1_init_offset_mid,u1_init_offset_end,L_init,L_arc,R_arc,u1_center_arc,u2_center_arc,theta_arc,theta_arc_start,theta_arc_end,delta_L,theta_joint
0.01,0.003,MCP,0,15.3887599,29.9897044,0,0.0213404,0.0647069,0,15.4,30,30,29.989786738106535,9470.324504497528,-5.438598492503018,9470.322942863817,0.003166711628927199,3.1410183756134833,3.1378516639845957,-0.010213261893465386,-0.18484068411712823
0.01,0.003,PIP,49.5595569,59.78212757,70.0145105,0.127841,0.146375,0.133693,49.574,59.774,69.974,20.400000000000006,20.45498620146719,3350.592912188413,60.74560725420509,-3350.446398661719,0.0061048855344552075,-0.0033385348286114596,0.0027663507059018885,0.054986201467183804,0.43119358681722336
0.01,0.003,DIP,83.6198917,91.6610603,99.706653,0.075194,0.00862405,-0.0961778,83.583,91.583,99.583,16,16.087734498713573,1694.5851459190283,73.61213372728616,-1694.4804001159835,0.009493612367284545,0.005905761756607786,0.015399374123880497,0.08773449871357286,0.7762762213079658
0.02,0.006,MCP,0,15.3461932,29.9642336,0,0.0950807,0.249371,0,15.4,30,30,29.965366134793562,3437.3765723822194,-13.62346074939936,3437.349575134793,0.008717510433844186,3.1376293123238663,3.128911801890041,-0.03463386520643752,-0.4908418201395321
0.02,0.006,PIP,49.5318416,59.8136687,70.112398,0.417007,0.437019,0.340698,49.574,59.774,69.974,20.400000000000006,20.581135772943387,910.7681550775623,56.445394123474664,-910.3249076470045,0.022597557521310863,-0.007590975685614383,0.015006581835695292,0.18113577294338157,1.5704406287930188
0.02,0.006,DIP,83.713111,91.809512,99.90378799999999,0.0843955,-0.147786,-0.471704,83.583,91.583,99.583,16,16.200570786871143,715.0961724743092,67.26316523223356,-714.8225461166306,0.022655093692944037,0.023005852311444502,0.04566094600437888,0.20057078687114327,1.8014463579048292
0.03,0.009,MCP,0,15.349343000000001,29.9790267,0,0.0968116,0.24764,0,15.4,30,30,29.980129527625696,3745.404663343957,-15.947879954554592,3745.3707102666904,0.008004510119037167,3.1373346549010575,3.1293301447820405,-0.01987047237430417,-0.434000698022255
0.03,0.009,PIP,49.5432815,59.8530427,70.18699600000001,0.395837,0.384848,0.218551,49.574,59.774,69.974,20.400000000000006,20.645252515701873,687.0290724779968,53.96589046694368,-686.6190005107353,0.030050042047329913,-0.006437339683662457,0.023612702363661427,0.24525251570186768,2.0942093401474744
0.03,0.009,DIP,83.781083,91.914899,100.046873,-0.175463,-0.523624,-1.00314,83.583,91.583,99.583,16,16.287539795925554,505.18060820125316,66.24465315166653,-505.0516067528639,0.032241023371659086,0.03472016421532853,0.06696118758698283,0.2875397959255537,2.5711641358047563
0.04,0.012,MCP,0,15.3664279,30.0241208,0,0.0820939,0.177319,0,15.4,30,30,30.024651073755937,13007.41944691157,-61.80687012286348,13007.272603382267,0.0023082711521911345,3.13684097298475,3.1345327018325513,0.024651073755936892,-0.09474475687193429
