time,pressure,joint,u1_start,u1_mid,u1_end,u2_start,u2_mid,u2_end,u1_init_offset_start,u1_init_offset_mid,u1_init_offset_end,L_init,L_arc,R_arc,u1_center_arc,u2_center_arc,theta_arc,theta_arc_start,theta_arc_end,delta_L,theta_joint
0.01,0.007,MCP,0,15.3806306,29.9872002,0,0.0344536,0.0901338,0,15.4,30,30,29.987348008098905,9538.45741321965,-13.676381134376967,9538.447608515968,0.0031438362314789485,3.140158838327226,3.1370150020956937,-0.012651991901094561,-0.17834926017726402
0.01,0.007,PIP,49.559083799999996,59.7880333,70.0226659,0.151057,0.159033,0.126431,49.574,59.774,69.974,20.400000000000006,20.46365054171145,2580.408753800439,56.685621815805426,-2580.2478557934937,0.007930391071403893,-0.002761789993507768,0.005168601077900644,0.0636505417114428,0.5502586454350733
0.01,0.007,DIP,83.6292551,91.6638169,99.69862,0.0381088,-0.0417347,-0.153215,83.583,91.583,99.583,16,16.070545328987095,2041.1660971564725,67.36347799235932,-2041.0631774364451,0.007873217839241406,0.007968949361337267,0.015842167200580754,0.07054532898709454,0.6321375579839967
0.02,0.014,MCP,0,15.3852525,30.00325074,0,0.0331728,0.076694,0,15.4,30,30,30.00335213092143,18270.535339294867,-31.70116024502054,18270.507836972178,0.0016421714839626247,3.1398575552162247,3.1382153837321303,0.0033521309214314954,-0.0857995509195707
0.02,0.014,PIP,49.57271871,59.8205879,70.079834,0.105999,0.0836052,-0.00531321,49.574,59.774,69.974,20.400000000000006,20.50756098400021,1581.9536872316885,51.23977037516587,-1581.8468098677868,0.012963439542839619,-0.0010537931591544046,0.011909646383683822,0.1075609840002052,0.9054556485322363
0.02,0.014,DIP,83.6829115,91.746379,99.81196,-0.199928,-0.366461,-0.592646,83.583,91.583,99.583,16,16.133975531285614,1092.1927961801061,65.16279330540982,-1092.2356917228633,0.014772094805709624,0.016957634129121133,0.03172972893484917,0.13397553128561412,1.1924130708469942
0.03,0.021,MCP,0,15.39408717,30.0401273,0,0.029831,0.035461,0,15.4,30,30,30.04016031229871,9669.069298123723,26.433937178842044,-9669.033164638748,0.0031068305941429116,-0.0027338691338216837,3.729614602577517e-4,0.040160312298709755,0.21212127933694847
0.03,0.021,PIP,49.6081897,59.890141,70.185443,-0.0369845,-0.143988,-0.365357,49.574,59.774,69.974,20.400000000000006,20.58029523388088,927.7021839921823,45.09530896330236,-927.7281917943891,0.02218416167278777,0.004864598373981107,0.027048760046759355,0.18029523388087298,1.5470014159312986
0.03,0.021,DIP,83.78147,91.87546499999999,99.969013,-0.78292,-1.11115,-1.53171,83.583,91.583,99.583,16,16.20520231719042,711.6529661724609,58.993479960623546,-712.0040528496008,0.02277121446475258,0.0348386169186582,0.057609831383419755,0.2052023171904196,1.8280919732712753
0.04,0.028,MCP,0,15.4142001,30.0973941,0,0.0114734,-0.0589024,0,15.4,30,30,30.097605542092985,2717.7385710487897,9.730011877934915,-2717.721153362716,0.011074503582762988,-0.0035801944925201216,0.007494309090222885,0.09760554209298533,0.7097117764533369
0.04,0.028,PIP,49.663308,59.984752,70.319159,-0.301274,-0.537106,-0.946113,49.574,59.774,69.974,20.400000000000006,20.666875888652196,618.3318420709155,40.70010459356131,-618.5681483378594,0.03342359956659315,0.014496289417945634,0.047919888984538396,0.2668758886521907,2.3246516476624066
0.04,0.028,DIP,83.900707,92.021677,100.13570299999999,-1.66606,-2.20762,-2.87677,83.583,91.583,99.583,16,16.280745533998616,518.6904091409201,53.449203063601296,-519.4618174592385,0.03138817538763357,0.0587422156942102,0.09013039108184435,0.28074553399861557,2.5045742309765484
0.05,0.035,MCP,0,15.450323000000001,30.173857,0,-0.030519,-0.224406,0,15.4,30,30,30.17532146492407,1348.0209586977437,5.062466628232714,-1348.0114526664904,0.022384905271854938,-0.003755489479230629,0.018629415792610984,0.17532146492407108,1.3953742271892302
0.05,0.035,PIP,49.734227,60.081594,70.439008,-0.700871,-1.08895,-1.69122,49.574,59.774,69.974,20.400000000000006,20.72991812738449,503.25712583756666,36.047462354072415,-503.7718472844756,0.04119150442804731,0.027199719036829193,0.06839122346487715,0.32991812738448445,2.8698453285155114
0.05,0.035,DIP,83.999759,92.136908,100.262468,-2.70258,-3.44627,-4.3477,83.583,91.583,99.583,16,16.3467260949709,422.51410602319623,49.61497318010564,-423.815220860733,0.03868918424719637,0.08147149070454911,0.12016067495174769,0.3467260949709008,3.0852038063845164
0.06,0.042,MCP,0,15.4741316,30.234804,0,-0.054424,-0.336599,0,15.4,30,30,30.237903596847644,969.3333801080798,4.327957333392515,-969.3237181546089,0.031194534529984042,-0.004464894949546244,0.026729639580441594,0.2379035968476444,1.9384103193146882
0.06,0.042,PIP,49.788909,60.169079,70.55522500000001,-0.998399,-1.52222,-2.31494,49.574,59.774,69.974,20.400000000000006,20.810307910414334,403.98631785505796,34.61997338436134,-404.6998337341071,0.05151240769961088,0.0375569705253448,0.0890693782249572,0.41030791041432835,3.5829792013287487
0.06,0.042,DIP,84.088651,92.24057,100.371666,-3.62316,-4.57822,-5.725,83.583,91.583,99.583,16,16.41961864561891,349.5591137028886,47.49207729291092,-351.2612832915208,0.0469723660518688,0.10488572145907804,0.15185808751094437,0.41961864561891105,3.731568976006141
0.07,0.049,MCP,0,15.4852146,30.273392,0,-0.0611561,-0.38874,0,15.4,30,30,30.27755907675693,831.8550582679738,4.4575116764372495,-831.8431153502856,0.036397637756508436,-0.005358545295090954,0.03103909246141672,0.2775590767569298,2.261278739893304
0.07,0.049,PIP,49.822227,60.232402,70.645533,-1.16067,-1.77634,-2.71116,49.574,59.774,69.974,20.400000000000006,20.884179911112245,342.8040311883893,34.79118491058627,-343.6350071009227,0.06092162871805688,0.043861394007474325,0.10478302272553056,0.4841799111122391,4.229402221800496
0.07,0.049,DIP,84.152947,92.319085,100.454962,-4.24791,-5.37356,-6.72435,83.583,91.583,99.583,16,16.491125936302584,299.3204396242985,47.36696240118464,-301.29928083336114,0.05509522155253394,0.12320983611558384,0.1783050576681139,0.49112593630258417,4.3627587168225705
0.08,0.056,MCP,0,15.4860684,30.288652,0,-0.0554346,-0.388476,0,15.4,30,30,30.29294956162497,800.7463465680197,4.876800335280484,-800.7314957965128,0.0378308932553484,-0.0060903562096152304,0.03174053704572669,0.2929495616249689,2.347855332971527
0.08,0.056,PIP,49.834241999999996,60.266107,70.701615,-1.18986,-1.8417,-2.84723,49.574,59.774,69.974,20.400000000000006,20.937039357897085,311.0474939280509,35.65479590579037,-311.91399293367203,0.06731139059664012,0.04560191612371966,0.11291330672035663,0.5370393578970791,4.666761414369975
0.08,0.056,DIP,84.192207,92.375441,100.522148,-4.50716,-5.73625,-7.22109,83.583,91.583,99.583,16,16.55661002070246,265.3139956048477,48.88149452044183,-267.4609008899047,0.06240383204420726,0.1334863447645146,0.19589017680872137,0.5566100207024611,4.932899576922968
0.09,0.063,MCP,0,15.469276,30.277354,0,-0.0248905,-0.306611,0,15.4,30,30,30.28043673878198,869.4547411300531,6.335718045319912,-869.4316566299951,0.03482692693057916,-0.007287066040888117,0.027539860889687927,0.2804367387819795,2.169685974244454
0.09,0.063,PIP,49.823192,60.281104,70.74567900000001,-1.04713,-1.68787,-2.72065,49.574,59.774,69.974,20.400000000000006,20.99414711951216,282.3126233417152,37.79063902054661,-283.1032147896705,0.07436488978426072,0.0426342925717823,0.11699918235604727,0.5941471195121544,5.1432907923301805
0.09,0.063,DIP,84.225359,92.431141,100.59309999999999,-4.45054,-5.75316,-7.34403,83.583,91.583,99.583,16,16.62493649307733,237.03380390871996,51.17155256184739,-239.16839205941758,0.07013740748758128,0.13990359067837646,0.2100409981659562,0.6249364930773282,5.5294162770781545
0.1,0.07,MCP,0,15.4475364,30.25712,0,0.0121289,-0.201536,0,15.4,30,30,30.258958129533777,994.598720532587,8.504670774747028,-994.5623587589026,0.03042328278215634,-0.008550960545317095,0.02187232223683648,0.2589581295337773,1.905375251283876
0.1,0.07,PIP,49.803861,60.286904,70.780874,-0.851804,-1.46317,-2.50241,49.574,59.774,69.974,20.400000000000006,21.04759405178785,260.1248090854918,39.90384751424942,-260.78815396811336,0.08091344353421674,0.03806789921467789,0.11898134274889166,0.6475940517878449,5.582919385347554
0.1,0.07,DIP,84.253083,92.48312299999999,100.66248,-4.27326,-5.63129,-7.30983,83.583,91.583,99.583,16,16.692194953003185,214.7117581756683,53.41804616370615,-216.7593527265384,0.07774234208145378,0.14410959331088966,0.22185193539234505,0.6921949530031846,6.11389679167829
0.11,0.077,MCP,0,15.4330961,30.246687,0,0.0385644,-0.129557,0,15.4,30,30,30.24793114121131,1092.1840593138274,10.445633639703349,-1092.1341072217713,0.027694902597475,-0.00956413234617679,0.018130770251301675,0.24793114121131055,1.7392942592708083
0.11,0.077,PIP,49.792893,60.298213000000004,70.818099,-0.723092,-1.32105,-2.37968,49.574,59.774,69.974,20.400000000000006,21.09699990673453,242.85440031950392,41.247968839390424,-243.42711756536903,0.08687098063275325,0.03519264320741745,0.12206362384017079,0.6969999067345256,5.982694594822073
0.11,0.077,DIP,84.2808,92.532386,100.72626,-4.20517,-5.62603,-7.39896,83.583,91.583,99.583,16,16.75777507435117,196.8371613738534,55.011870152581984,-198.8540791757345,0.0851352201860048,0.14924964283772385,0.23438486302373404,0.7577750743511693,6.6804350580954335
0.12,0.084,MCP,0,15.427770500000001,30.255211,0,0.0535884,-0.102694,0,15.4,30,30,30.256375511200826,1079.5686822937416,11.463651458752508,-1079.5078158515935,0.028026355346762753,-0.010618932443233689,0.017407422903531953,0.2563755112008259,1.7612180941608258
0.12,0.084,PIP,49.799394,60.331141,70.876986,-0.703653,-1.3305,-2.46039,49.574,59.774,69.974,20.400000000000006,21.15855738878382,223.73910652124948,41.775591833361574,-224.29883717380477,0.09456798910911132,0.03587000590574554,0.13043799501485806,0.7585573887838137,6.501203479810865
