time,pressure,joint,resample_u1_start,resample_u1_mid,resample_u1_end,resample_u2_start,resample_u2_mid,resample_u2_end,u1_init_offset_start,u1_init_offset_mid,u1_init_offset_end,L_init,L_arc,R_arc,u1_center_arc,u2_center_arc,theta_arc,theta_arc_start,theta_arc_end,delta_L,theta_joint
0.01,0.007,MCP,0,15.413857417423142,30.041834327169582,0,-0.009170609642993335,-0.06096386801034387,0,15.4,30,30,30.04193963142855,5099.243456952691,4.673093097998733,-5099.241315673904,0.005891450346515053,-9.164288372497652e-4,0.00497502150921786,0.041939631428551394,0.3468509857381092
0.02,0.014,MCP,0,15.417403548853036,30.065489194872637,0,-0.007308069326500584,-0.07668473923596085,0,15.4,30,30,30.065678019910504,3527.0320981569503,6.0368424014298085,-3527.0269318454657,0.008524356224492914,-0.0017115935384105047,0.006812762686097485,0.0656780199105036,0.5200621106165714
0.03,0.021,MCP,0,15.420911549121726,30.08902658241694,0,-0.005269666207854032,-0.09205053469787447,0,15.4,30,30,30.089323223689306,2698.8350712339225,6.7882080164833765,-2698.8265342467153,0.011149004081206155,-0.0025152389808326733,0.008633765100366621,0.08932322368930556,0.6917027220246106
0.04,0.028,MCP,0,15.424294248326458,30.112291856914876,0,-0.0029458402519534892,-0.10664960680203706,0,15.4,30,30,30.11271754334764,2191.8207912097673,7.293540365186531,-2191.8086561213213,0.013738676840786347,-0.0033276232503935696,0.01041105359039508,0.11271754334763884,0.8602684382238209
0.05,0.035,MCP,0,15.427464476564484,30.13513038547886,0,-2.2703142369876906e-4,-0.12007030795440095,0,15.4,30,30,30.135701849162214,1852.5761870909307,7.686469860598117,-1852.560241168274,0.016266916340149984,-0.0041490827572018265,0.012117833582958128,0.1357018491622135,1.024253919147037
0.06,0.042,MCP,0,15.430428385105039,30.15755290525534,0,0.0028791285660612013,-0.1323391423968065,0,15.4,30,30,30.158284374912135,1609.6592225489987,8.01555339365132,-1609.6392650655737,0.018735819328984774,-0.004979679182202152,0.013756140146766061,0.1582843749121352,1.1837622546933033
0.07,0.049,MCP,0,15.433295068190159,30.179752958355,0,0.006235742377987876,-0.14396953537974078,0,15.4,30,30,30.18066041853434,1425.021284194045,8.29241146272491,-1424.9971566000324,0.021179094483212396,-0.005819182040092583,0.015359912443114408,0.180660418534341,1.3406794130443906
0.08,0.056,MCP,0,15.436131770376292,30.20185011933662,0,0.009758471604447011,-0.1552802208221262,0,15.4,30,30,30.202951255869845,1278.8246542429831,8.526503159959747,-1278.7962288979227,0.023617742397802673,-0.006667502309338925,0.016950240088464803,0.20295125586984497,1.4961743534799554
0.09,0.063,MCP,0,15.439005736219892,30.223963962758965,0,0.013362977837804357,-0.16658993264288519,0,15.4,30,30,30.225279165500506,1159.27519964554,8.722871854907657,-1159.2423819114833,0.02607256600912552,-0.007524489586219778,0.018548076422904625,0.2252791655005062,1.6514168049864864
0.1,0.07,MCP,0,15.441984210277411,30.2462140631808,0,0.016964922670425677,-0.17821740476094008,0,15.4,30,30,30.2477674094741,1058.940809396182,8.884337458030702,-1058.90353968271,0.028564171992504155,-0.008389932288534054,0.020174239703964324,0.24776740947410048,1.807577223276624
0.11,0.077,MCP,0,15.444829916370203,30.26818246953554,0,0.020868432975997303,-0.18903355033417762,0,15.4,30,30,30.26998642715996,975.7941814252762,9.040826316402216,-975.7522984666455,0.031020872027487035,-0.00926522809890972,0.021755643928580426,0.26998642715996013,1.960561060552965
0.12,0.084,MCP,0,15.447381120666222,30.289583492931627,0,0.02527949437578709,-0.19826988237284224,0,15.4,30,30,30.29163990005869,907.0934286924489,9.20808465080188,-907.0466909448966,0.033394178528801916,-0.01015137196547877,0.02324280656332569,0.29163990005869067,2.107572631956669
0.13,0.091,MCP,0,15.449818381241801,30.310735101190367,0,0.029966556583532974,-0.20678603457439257,0,15.4,30,30,30.313053687674227,848.179532442595,9.369971762391764,-848.1277750927103,0.03573895918046787,-0.011047380889478504,0.02469157829098537,0.3130536876742269,2.251732597271855
0.14,0.098,MCP,0,15.45232225617328,30.33195526213306,0,0.034698069312972944,-0.21544164063628735,0,15.4,30,30,30.33455600734096,795.9826747332296,9.513445319531455,-795.9258211878911,0.03810956817308551,-0.011952109171712891,0.026157459001374596,0.3345560073409608,2.3961633302294576
0.15,0.105,MCP,0,15.455073303536995,30.353561943581017,0,0.03924248227784496,-0.22509633425598527,0,15.4,30,30,30.3564773374487,748.4366023658137,9.627809093101844,-748.3746742460957,0.0405598513507913,-0.012864248778113083,0.02769560257267433,0.35647733744869825,2.5439888653157907
0.16,0.112,MCP,0,15.458252081409293,30.375873113355556,0,0.043368245191887,-0.23660974913094515,0,15.4,30,30,30.379150636777883,704.147855655158,9.70449148231521,-704.080979340322,0.04314314158993257,-0.01378233086060726,0.029360810729328186,0.37915063677788297,2.698334917443087
0.17,0.119,MCP,0,15.460676084057091,30.396807621816773,0,0.04858409483607022,-0.2443908388334954,0,15.4,30,30,30.400413516291593,667.9916083578239,9.829304089902847,-667.919286753707,0.0455101727864925,-0.014715242995274349,0.030794929791216324,0.40041351629159294,2.8388239370476147
0.18,0.126,MCP,0,15.461729185090007,30.41528059728494,0,0.05567695195132394,-0.24551967331858712,0,15.4,30,30,30.41912884243169,640.6627466269988,10.037677767122926,-640.5841084047383,0.04748072055474462,-0.01566828808465394,0.031812432470098975,0.41912884243168946,2.9548202370499284
0.19,0.133,MCP,0,15.46244151159842,30.43310442452164,0,0.06333254219132331,-0.24486256085761293,0,15.4,30,30,30.4371791728354,616.6473118072886,10.256723905521058,-616.5620056197765,0.04935913704647345,-0.016633814341809702,0.032725322704662725,0.43717917283539975,3.0640697862717223
0.2,0.14,MCP,0,15.4638431906727,30.452091488288428,0,0.07023659120974347,-0.24728580972196532,0,15.4,30,30,30.456454244567915,591.9956490834221,10.420501685276873,-591.9039294330875,0.051447091362450355,-0.017603237278111732,0.03384385408433847,0.45645424456791517,3.1843267088979164
0.21,0.147,MCP,0,15.466964349403222,30.47405417334686,0,0.07507482466025951,-0.2576557281830367,0,15.4,30,30,30.478852402503733,563.9684751484148,10.470629150348405,-563.8712680093072,0.05404353921463939,-0.018567049817996135,0.03547648939663805,0.4788524025037333,3.3333539356156865
0.22,0.154,MCP,0,15.47146812343323,30.4984977915565,0,0.07837801164299278,-0.274176849664484,0,15.4,30,30,30.503866132616128,534.723918330265,10.444311774002434,-534.6219086289294,0.057046010262394566,-0.019533399616421462,0.03751261064597878,0.5038661326161282,3.505820584198073
0.23,0.161,MCP,0,15.476392077779582,30.52376966695589,0,0.0814157593549915,-0.29221626842399806,0,15.4,30,30,30.529773896850774,507.3773264706346,10.40697917097355,-507.27058479772296,0.060171734730873394,-0.020512759427045366,0.039658975303827615,0.5297738968507737,3.6853245339147005
0.24,0.168,MCP,0,15.48182798359307,30.54994520257508,0,0.08398205059532121,-0.3123841339840222,0,15.4,30,30,30.556667261331942,481.6109079509576,10.353063648371752,-481.49961654235875,0.0634467923314634,-0.02149839428174618,0.04194839804971691,0.5566672613319419,3.8730338770472836
0.25,0.175,MCP,0,15.4878676120245,30.577099801444135,0,0.08587086816304758,-0.33529059586700016,0,15.4,30,30,30.58464074954215,457.19021667296863,10.278374709762764,-457.0746648358468,0.06689697118217111,-0.02248350982394258,0.04441346135822738,0.5846407495421495,4.070123985642425
0.26,0.182,MCP,0,15.49460273422467,30.605308866593102,0,0.08687619485723619,-0.3615458035953755,0,15.4,30,30,30.613792417736,433.94417713287487,10.179943125654871,-433.8247545097978,0.07054776635097462,-0.02346125979871208,0.04708650655226155,0.6137924177360006,4.277778144000896
0.27,0.189,MCP,0,15.502125121344378,30.634647801052044,0,0.08679201347695265,-0.391759906691592,0,15.4,30,30,30.644224564504302,411.7498094966032,10.0558886425844,-411.62699707878363,0.07442438067419946,-0.02442475580628756,0.04999962486790979,0.6442245645043023,4.497188337988862
0.28,0.196,MCP,0,15.510689066441365,30.66586792597809,0,0.0855229679556687,-0.42679175325342755,0,15.4,30,30,30.676735961140178,390.2348262271333,9.906566937044401,-390.10906107400626,0.07861096421795273,-0.02538889571138976,0.053222068506561845,0.676735961140178,4.734031561037934
0.29,0.203,MCP,0,15.520298456015125,30.699159053911448,0,0.08322960607688888,-0.4663724236489077,0,15.4,30,30,30.711539519325857,369.52746236548194,9.741322489882075,-369.3990417941292,0.08311030342029233,-0.026364619939707602,0.05674568348058384,0.7115395193258571,4.989195021330348
0.3,0.21,MCP,0,15.530669451379081,30.73375432495678,0,0.08008976641472806,-0.5094204158058465,0,15.4,30,30,30.7478571368909,350.0988256014805,9.5702834580488,-349.9679947681908,0.0878262218791084,-0.02733935410419343,0.06048686777491404,0.7478571368909002,5.256704012309186
0.31,0.217,MCP,0,15.541518213846642,30.768886879218726,0,0.07628128754330094,-0.5548542276520589,0,15.4,30,30,30.78490217635358,332.22129744676556,9.400910629191742,-332.0882613953017,0.09266384308575668,-0.02830091191870044,0.0643629311670556,0.7849021763535795,5.530602352863766
0.32,0.224,MCP,0,15.552560904731237,30.803789856801956,0,0.07198200803672239,-0.6015923571153592,0,15.4,30,30,30.821878126708324,316.0256111624339,9.23848508179154,-315.89054639856414,0.09752968442442532,-0.029237508328412275,0.06829217609601541,0.8218781267083237,5.804955668259662
0.33,0.231,MCP,0,15.564225111265287,30.839515582154494,0,0.0667486693769683,-0.6515648863682479,0,15.4,30,30,30.859920315599474,300.90508078161,9.07212928820513,-300.768289735413,0.10255699317352801,-0.030154041402693076,0.0724029517708367,0.8599203155994743,6.088421121005334
0.34,0.238,MCP,0,15.576923945124687,30.87715012795257,0,0.06025353410545895,-0.7064670433423694,0,15.4,30,30,30.90021185450995,286.44226730862505,8.896039352096247,-286.30409180581364,0.10787588069611512,-0.031062001257439964,0.07681387943867786,0.9002118545099513,6.389563892227146
0.35,0.245,MCP,0,15.590351854288041,30.9159772566431,0,0.052847722385475526,-0.7648650446042541,0,15.4,30,30,30.942010916689565,272.88069051044084,8.719796165863533,-272.74133608289156,0.11339025439583339,-0.03196005108181256,0.08143020331402226,0.9420109166895649,6.702336230311773
0.36,0.252,MCP,0,15.604203286733979,30.955280730673014,0,0.04488235438029933,-0.8253251067204317,0,15.4,30,30,30.98456175920122,260.3624398719423,8.55064245568241,-260.22199486143717,0.1190054977762568,-0.032847211977038486,0.08615828579921912,0.9845617592012204,7.020703939304028
0.37,0.259,MCP,0,15.61817269044111,30.994344312489247,0,0.036708550253211604,-0.8864134462574325,0,15.4,30,30,31.027093238609854,248.95653975218724,8.393937825342105,-248.81499250078696,0.12462855271644761,-0.03372286994563076,0.09090568277081597,1.0270932386098544,7.33865000396587
0.38,0.266,MCP,0,15.631954513388054,31.032451764538727,0,0.028677430167493634,-0.9466962797817866,0,15.4,30,30,31.068818216431996,238.6825717365803,8.253614172333288,-238.53982456579877,0.13016793807099078,-0.034586773132337545,0.0955811649386542,1.0688182164319961,7.650176664473322
0.39,0.273,MCP,0,15.645728572291086,31.070149741310228,0,0.0205741993459403,-1.0069342490155708,0,15.4,30,30,31.110314194181,229.31745878638026,8.124241938395814,-229.17350107979243,0.13566483057516213,-0.03543534124874027,0.1002294893264234,1.1103141941810009,7.958790951335275
0.4,0.28,MCP,0,15.659871872959457,31.10834875250802,0,0.01195848990602021,-1.0688728902463067,0,15.4,30,30,31.152589086807595,220.58541286062066,7.9982773720586176,-220.44035911323064,0.14122687752925758,-0.03626727131712464,0.1049596062121324,1.1525890868075948,8.271846935962829
0.41,0.287,MCP,0,15.67437464701125,31.14687834340228,0,0.0028430623530252747,-1.1325557618886912,0,15.4,30,30,31.195490393723205,212.41130761508703,7.875688852362849,-212.26525181445007,0.14686360506877022,-0.03708604107473246,0.10977756399403805,1.1954903937232046,8.589143212458202
0.42,0.294,MCP,0,15.689227126064557,31.185568059263197,0,-0.006759322807752809,-1.1980264223574235,0,15.4,30,30,31.2388669152007,204.7312759595331,7.756474841195727,-204.5842918067181,0.15258473219976088,-0.03789519485034243,0.11468953734941748,1.238866915200699,8.910493621059567
0.43,0.301,MCP,0,15.704419541737453,31.22424744536094,0,-0.016835905071022124,-1.2653284300672005,0,15.4,30,30,31.282568820098405,197.4907410042588,7.640657583435742,-197.3428821470486,0.15840017947688903,-0.03869834574275929,0.11970183373413078,1.2825688200984047,9.235727798013029
0.44,0.308,MCP,0,15.719762774528352,31.26288587462444,0,-0.02705248608113301,-1.3332830470241597,0,15.4,30,30,31.326502086180636,190.73334166364873,7.531923482166956,-190.58456850133734,0.1642424015273836,-0.039499556516844225,0.12474284501053867,1.3265020861806356,9.561704878503845
0.45,0.315,MCP,0,15.735173795224902,31.301597766365564,0,-0.03726209313133849,-1.4012982734977628,0,15.4,30,30,31.37074195488363,184.456754036792,7.431177957780738,-184.30700394708114,0.17007098557435515,-0.04029773610271025,0.12977324947164606,1.3707419548836306,9.887049954698051
