u1,u2,joint,pressure
0.0,-0.0,MCP_start,0.003
0.0,-0.0,MCP_start,0.006
0.0,-0.0,MCP_start,0.009
0.0,-0.0,MCP_start,0.012
0.0,-0.0,MCP_start,0.015
0.0,-0.0,MCP_start,0.018
0.0,-0.0,MCP_start,0.021
0.0,-0.0,MCP_start,0.024
0.0,-0.0,MCP_start,0.027
0.0,-0.0,MCP_start,0.03
0.0,-0.0,MCP_start,0.033
0.0,-0.0,MCP_start,0.036
0.0,-0.0,MCP_start,0.039
0.0,-0.0,MCP_start,0.042
0.0,-0.0,MCP_start,0.045
0.0,-0.0,MCP_start,0.048
0.0,-0.0,MCP_start,0.051
0.0,-0.0,MCP_start,0.054
0.0,-0.0,MCP_start,0.057
0.0,-0.0,MCP_start,0.06
0.0,-0.0,MCP_start,0.063
0.0,-0.0,MCP_start,0.066
0.0,-0.0,MCP_start,0.069
0.0,-0.0,MCP_start,0.072
0.0,-0.0,MCP_start,0.075
0.0,-0.0,MCP_start,0.078
0.0,-0.0,MCP_start,0.081
0.0,-0.0,MCP_start,0.084
0.0,-0.0,MCP_start,0.087
0.0,-0.0,MCP_start,0.09
0.0,-0.0,MCP_start,0.093
0.0,-0.0,MCP_start,0.096
0.0,-0.0,MCP_start,0.099
0.0,-0.0,MCP_start,0.102
0.0,-0.0,MCP_start,0.105
0.0,-0.0,MCP_start,0.108
0.0,-0.0,MCP_start,0.111
0.0,-0.0,MCP_start,0.114
0.0,-0.0,MCP_start,0.117
0.0,-0.0,MCP_start,0.12
0.0,-0.0,MCP_start,0.123
0.0,-0.0,MCP_start,0.126
0.0,-0.0,MCP_start,0.129
0.0,-0.0,MCP_start,0.132
0.0,-0.0,MCP_start,0.135
0.0,-0.0,MCP_start,0.138
0.0,-0.0,MCP_start,0.141
0.0,-0.0,MCP_start,0.144
0.0,-0.0,MCP_start,0.147
0.0,-0.0,MCP_start,0.15
0.0,-0.0,MCP_start,0.153
0.0,-0.0,MCP_start,0.156
0.0,-0.0,MCP_start,0.159
0.0,-0.0,MCP_start,0.162
0.0,-0.0,MCP_start,0.165
0.0,-0.0,MCP_start,0.168
0.0,-0.0,MCP_start,0.171
0.0,-0.0,MCP_start,0.174
0.0,-0.0,MCP_start,0.177
0.0,-0.0,MCP_start,0.18
0.0,-0.0,MCP_start,0.183
0.0,-0.0,MCP_start,0.186
0.0,-0.0,MCP_start,0.189
0.0,-0.0,MCP_start,0.192
0.0,-0.0,MCP_start,0.195
0.0,-0.0,MCP_start,0.198
0.0,-0.0,MCP_start,0.201
0.0,-0.0,MCP_start,0.204
0.0,-0.0,MCP_start,0.207
0.0,-0.0,MCP_start,0.21
0.0,-0.0,MCP_start,0.213
0.0,-0.0,MCP_start,0.216
0.0,-0.0,MCP_start,0.219
0.0,-0.0,MCP_start,0.222
0.0,-0.0,MCP_start,0.225
0.0,-0.0,MCP_start,0.228
0.0,-0.0,MCP_start,0.231
0.0,-0.0,MCP_start,0.234
0.0,-0.0,MCP_start,0.237
0.0,-0.0,MCP_start,0.24
0.0,-0.0,MCP_start,0.243
0.0,-0.0,MCP_start,0.246
0.0,-0.0,MCP_start,0.249
0.0,-0.0,MCP_start,0.252
0.0,-0.0,MCP_start,0.255
0.0,-0.0,MCP_start,0.258
0.0,-0.0,MCP_start,0.261
0.0,-0.0,MCP_start,0.264
0.0,-0.0,MCP_start,0.267
0.0,-0.0,MCP_start,0.27
0.0,-0.0,MCP_start,0.273
0.0,-0.0,MCP_start,0.276
0.0,-0.0,MCP_start,0.279
0.0,-0.0,MCP_start,0.282
0.0,-0.0,MCP_start,0.285
0.0,-0.0,MCP_start,0.288
0.0,-0.0,MCP_start,0.291
0.0,-0.0,MCP_start,0.294
0.0,-0.0,MCP_start,0.297
