u1,u2,joint,pressure
0.0,-0.0,MCP_start,0.007
0.0,-0.0,MCP_start,0.014
0.0,-0.0,MCP_start,0.021
0.0,-0.0,MCP_start,0.028
0.0,-0.0,MCP_start,0.035
0.0,-0.0,MCP_start,0.042
0.0,-0.0,MCP_start,0.049
0.0,-0.0,MCP_start,0.056
0.0,-0.0,MCP_start,0.063
0.0,-0.0,MCP_start,0.07
0.0,-0.0,MCP_start,0.077
0.0,-0.0,MCP_start,0.084
0.0,-0.0,MCP_start,0.091
0.0,-0.0,MCP_start,0.098
0.0,-0.0,MCP_start,0.105
0.0,-0.0,MCP_start,0.112
0.0,-0.0,MCP_start,0.119
0.0,-0.0,MCP_start,0.126
0.0,-0.0,MCP_start,0.133
0.0,-0.0,MCP_start,0.14
0.0,-0.0,MCP_start,0.147
0.0,-0.0,MCP_start,0.154
0.0,-0.0,MCP_start,0.161
0.0,-0.0,MCP_start,0.168
0.0,-0.0,MCP_start,0.175
0.0,-0.0,MCP_start,0.182
0.0,-0.0,MCP_start,0.189
0.0,-0.0,MCP_start,0.196
0.0,-0.0,MCP_start,0.203
0.0,-0.0,MCP_start,0.21
0.0,-0.0,MCP_start,0.217
0.0,-0.0,MCP_start,0.224
0.0,-0.0,MCP_start,0.231
0.0,-0.0,MCP_start,0.238
0.0,-0.0,MCP_start,0.245
0.0,-0.0,MCP_start,0.252
0.0,-0.0,MCP_start,0.259
0.0,-0.0,MCP_start,0.266
0.0,-0.0,MCP_start,0.273
0.0,-0.0,MCP_start,0.28
0.0,-0.0,MCP_start,0.287
0.0,-0.0,MCP_start,0.294
0.0,-0.0,MCP_start,0.301
0.0,-0.0,MCP_start,0.308
0.0,-0.0,MCP_start,0.315
0.0,-0.0,MCP_start,0.322
0.0,-0.0,MCP_start,0.329
0.0,-0.0,MCP_start,0.336
0.0,-0.0,MCP_start,0.343
0.0,-0.0,MCP_start,0.35
0.0,-0.0,MCP_start,0.357
0.0,-0.0,MCP_start,0.364
0.0,-0.0,MCP_start,0.371
0.0,-0.0,MCP_start,0.378
0.0,-0.0,MCP_start,0.385
0.0,-0.0,MCP_start,0.392
0.0,-0.0,MCP_start,0.399
0.0,-0.0,MCP_start,0.406
0.0,-0.0,MCP_start,0.413
0.0,-0.0,MCP_start,0.42
0.0,-0.0,MCP_start,0.427
0.0,-0.0,MCP_start,0.434
0.0,-0.0,MCP_start,0.441
0.0,-0.0,MCP_start,0.448
0.0,-0.0,MCP_start,0.455
0.0,-0.0,MCP_start,0.462
0.0,-0.0,MCP_start,0.469
0.0,-0.0,MCP_start,0.476
0.0,-0.0,MCP_start,0.483
0.0,-0.0,MCP_start,0.49
0.0,-0.0,MCP_start,0.497
0.0,-0.0,MCP_start,0.504
0.0,-0.0,MCP_start,0.511
0.0,-0.0,MCP_start,0.518
0.0,-0.0,MCP_start,0.525
0.0,-0.0,MCP_start,0.532
0.0,-0.0,MCP_start,0.539
0.0,-0.0,MCP_start,0.546
0.0,-0.0,MCP_start,0.553
0.0,-0.0,MCP_start,0.56
0.0,-0.0,MCP_start,0.567
0.0,-0.0,MCP_start,0.574
0.0,-0.0,MCP_start,0.581
0.0,-0.0,MCP_start,0.588
0.0,-0.0,MCP_start,0.595
0.0,-0.0,MCP_start,0.602
30.05508682460238,-0.0019858403167684825,MCP_end,0.007
30.08274972464469,-0.004206792345512056,MCP_end,0.014
30.11049796448062,-0.00666076600163683,MCP_end,0.021
30.13832754091786,-0.009345596243787654,MCP_end,0.028
30.166234521376794,-0.01225904510880575,MCP_end,0.035
30.194215044190074,-0.015398803726550203,MCP_end,0.042
30.222265318859524,-0.01876249431408039,MCP_end,0.049
