u1,u2,joint,pressure
0.0,-0.0,MCP_start,0.007
0.0,-0.0,MCP_start,0.014
0.0,-0.0,MCP_start,0.021
0.0,-0.0,MCP_start,0.028
0.0,-0.0,MCP_start,0.035
0.0,-0.0,MCP_start,0.042
0.0,-0.0,MCP_start,0.049
0.0,-0.0,MCP_start,0.056
0.0,-0.0,MCP_start,0.063
0.0,-0.0,MCP_start,0.07
0.0,-0.0,MCP_start,0.077
0.0,-0.0,MCP_start,0.084
0.0,-0.0,MCP_start,0.091
0.0,-0.0,MCP_start,0.098
0.0,-0.0,MCP_start,0.105
0.0,-0.0,MCP_start,0.112
0.0,-0.0,MCP_start,0.119
0.0,-0.0,MCP_start,0.126
0.0,-0.0,MCP_start,0.133
0.0,-0.0,MCP_start,0.14
0.0,-0.0,MCP_start,0.147
0.0,-0.0,MCP_start,0.154
0.0,-0.0,MCP_start,0.161
0.0,-0.0,MCP_start,0.168
0.0,-0.0,MCP_start,0.175
0.0,-0.0,MCP_start,0.182
0.0,-0.0,MCP_start,0.189
0.0,-0.0,MCP_start,0.196
0.0,-0.0,MCP_start,0.203
0.0,-0.0,MCP_start,0.21
0.0,-0.0,MCP_start,0.217
0.0,-0.0,MCP_start,0.224
0.0,-0.0,MCP_start,0.231
0.0,-0.0,MCP_start,0.238
0.0,-0.0,MCP_start,0.245
0.0,-0.0,MCP_start,0.252
0.0,-0.0,MCP_start,0.259
0.0,-0.0,MCP_start,0.266
0.0,-0.0,MCP_start,0.273
0.0,-0.0,MCP_start,0.28
0.0,-0.0,MCP_start,0.287
0.0,-0.0,MCP_start,0.294
0.0,-0.0,MCP_start,0.301
0.0,-0.0,MCP_start,0.308
0.0,-0.0,MCP_start,0.315
0.0,-0.0,MCP_start,0.322
0.0,-0.0,MCP_start,0.329
0.0,-0.0,MCP_start,0.336
0.0,-0.0,MCP_start,0.343
0.0,-0.0,MCP_start,0.35
0.0,-0.0,MCP_start,0.357
0.0,-0.0,MCP_start,0.364
0.0,-0.0,MCP_start,0.371
0.0,-0.0,MCP_start,0.378
0.0,-0.0,MCP_start,0.385
0.0,-0.0,MCP_start,0.392
0.0,-0.0,MCP_start,0.399
0.0,-0.0,MCP_start,0.406
0.0,-0.0,MCP_start,0.413
0.0,-0.0,MCP_start,0.42
0.0,-0.0,MCP_start,0.427
0.0,-0.0,MCP_start,0.434
0.0,-0.0,MCP_start,0.441
0.0,-0.0,MCP_start,0.448
0.0,-0.0,MCP_start,0.455
0.0,-0.0,MCP_start,0.462
0.0,-0.0,MCP_start,0.469
0.0,-0.0,MCP_start,0.476
0.0,-0.0,MCP_start,0.483
0.0,-0.0,MCP_start,0.49
0.0,-0.0,MCP_start,0.497
0.0,-0.0,MCP_start,0.504
0.0,-0.0,MCP_start,0.511
0.0,-0.0,MCP_start,0.518
0.0,-0.0,MCP_start,0.525
0.0,-0.0,MCP_start,0.532
0.0,-0.0,MCP_start,0.539
0.0,-0.0,MCP_start,0.546
0.0,-0.0,MCP_start,0.553
0.0,-0.0,MCP_start,0.56
0.0,-0.0,MCP_start,0.567
0.0,-0.0,MCP_start,0.574
0.0,-0.0,MCP_start,0.581
0.0,-0.0,MCP_start,0.588
0.0,-0.0,MCP_start,0.595
0.0,-0.0,MCP_start,0.602
30.118036923819037,-0.02292019381517356,MCP_end,0.007
30.14603118859674,-0.04630521776235039,MCP_end,0.014
30.174175529649542,-0.07016100877048415,MCP_end,0.021
30.20247181404692,-0.09449361914540763,MCP_end,0.028
30.23092184806269,-0.11930921829150674,MCP_end,0.035
30.259527374349833,-0.1446140944100199,MCP_end,0.042
30.288290069043004,-0.17041465617227503,MCP_end,0.049
